dataset_label,department_label,course_code,subject,number,section,title,description,prerequisites,corequisites,restrictions,notes,delivery,source_file
maths,maths,MATH 1P02,MATH,1P02,,or,1P06,,,,,,2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
maths,maths,MATH 1P11,MATH,1P11,,or,1P12,,,,,,2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
maths,maths,MATH 1P40,MATH,1P40,,or,1P66 one credit from,,,,,,2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
maths,maths,MATH 2P03,MATH,2P03,,",","2P08 , 2P12 , 2P40 ,",,,,,,2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
maths,maths,STAT 2P81,STAT,2P81,,",",2P82 one MATH or STAT credit numbered 2 (alpha) 00 or above one MATH or STAT credit numbered 3 (alpha) 00 or above Minor in Statistics Students in other disciplines may obtain a Minor in Statistics within their degree program by completing the following courses with a minimum 60 percent average: MATH 1P01 or 1P05,,,,,,2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
maths,maths,MATH 1P02,MATH,1P02,,or,1P06,,,,,,2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
maths,maths,MATH 1P11,MATH,1P11,,or,1P12,,,,,,2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
maths,maths,STAT 2P81,STAT,2P81,,",","2P82 , 3P81 , 3P82 , 3P86",,,,any of,,2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
maths,maths,STAT 3P85,STAT,3P85,,",","4P81 , 4P82 , 4P84 , 4P85 may be substituted for any of the above courses. Minor Programs for Teachers Students intending to become elementary teachers, who are in another discipline, can obtain a Minor in Elementary Teaching Mathematics within their degree program by completing the following courses with a minimum 60 percent overall average: One of MATH 1P01, 1P05 or 1P97",,,,,,2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
maths,maths,MATH 1P11,MATH,1P11,,or,1P12,,,,,,2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
maths,maths,MATH 1P66,MATH,1P66,,",","2P90 , and 3P23",,,,,,2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
maths,maths,MATH 2P92,MATH,2P92,,or,2P94,,,,,,2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
maths,maths,STAT 1P50,STAT,1P50,,or,"1P98 one-half MATH or STAT credit Students intending to become secondary teachers, who are in another discipline, can obtain a Minor in Secondary Teaching Mathematics within their degree program by completing the following courses with a minimum 60 percent overall average: MATH 1P01, 1P02, 1P40, 2P90, 3P23, and",,,,,,2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
maths,maths,STAT 1P98,STAT,1P98,,MATH 1P11,or 1P12,,,,,,2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
maths,maths,MATH 2P75,MATH,2P75,,",","2P92 or 2P94 one MATH or STAT credit numbered 2 (alpha)00 or above Course Descriptions Note that not all courses are offered in every session. Refer to the applicable term timetable for details. # Indicates a cross listed course * Indicates primary offering of a cross listed course Prerequisites and Restrictions Students must check to ensure that prerequisites are met. Students may be deregistered, at the request of the instructor, from any course for which prerequisites and/or restrictions have not been met.",,,,,,2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
maths,maths,MATH 1P01,MATH,1P01,MATHEMATICS COURSES,Calculus Concepts I,"Differential calculus emphasizing on concepts and the use of both theory and computers to solve problems. Precalculus topics, limits, continuity and the intermediate value theorem, derivatives and differentiability, implicit differentiation, linear approximation, mean value theorem with proof and applications, max and min, related rates, curve sketching, l'Hospital's rule, antiderivatives, Riemann sums, FTC with proof, integration by substitution. Use of Maple. (Software Fee Required)",Two grade 12 mathematics credits including MCV4U or permission of the instructor.,,,"intended for mathematics majors and/or future teachers. Students must successfully complete the Mathematics Skills Test. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term. Completion of this course will replace previous assigned grade and credit obtained in","Lectures, 3 hours per week; lab/tutorial, 1 hour per week.",2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
maths,maths,MATH 1P05,MATH,1P05,MATHEMATICS COURSES,and,1P97 .,,,,,,2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
maths,maths,MATH 1P02,MATH,1P02,MATHEMATICS COURSES,Calculus Concepts II,"Integral calculus emphasizing concepts, theory and computers to solve problems. Further integration techniques. Applications to areas between curves, volumes, arc length and probabilities. Multivariable calculus: partial derivatives, optimization of functions of two variables. Sequences and series: convergence tests, Taylor and Maclaurin series and applications. Differential Equations: direction fields, separable equations, growth and decay, the logistic equation, linear equations. Use of Maple.","MATH 1P01, 1P05 or permission of instructor.",,,"intended for mathematics majors and/or future teachers. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term. Software Fee Required. Completion of this course will replace previous assigned grade and credit obtained in","Lectures, 3 hours per week; lab/tutorial, 1 hour per week.",2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
maths,maths,MATH 1P06,MATH,1P06,MATHEMATICS COURSES,.,,,,,,,2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
